Id_harcerza;Poczatek_dzial;Koniec_dzial;Id_sprawnosci;L_punktow
H019;2017-01-11;2017-01-13;S1;150
H090;2017-01-12;2017-01-15;S1;371
H070;2017-01-13;2017-01-16;S2;359
H094;2017-01-16;2017-01-17;S1;96
H026;2017-01-17;2017-01-20;S2;291
H145;2017-01-18;2017-01-21;S1;185
H151;2017-01-19;2017-01-20;S1;119
H078;2017-01-20;2017-01-23;S2;109
H013;2017-01-23;2017-01-27;S1;287
H158;2017-01-24;2017-01-25;S3;382
H029;2017-01-24;2017-01-27;S1;103
H187;2017-01-25;2017-01-27;S1;235
H024;2017-01-26;2017-01-27;S1;202
H114;2017-01-27;2017-01-30;S4;472
H175;2017-01-30;2017-01-31;S1;351
H016;2017-01-31;2017-02-03;S3;146
H104;2017-02-01;2017-02-04;S3;105
H168;2017-02-02;2017-02-03;S4;265
H017;2017-02-03;2017-02-03;S4;289
H071;2017-02-06;2017-02-09;S1;408
H110;2017-02-07;2017-02-10;S2;199
H119;2017-02-07;2017-02-10;S1;468
H146;2017-02-08;2017-02-11;S1;264
H004;2017-02-09;2017-02-11;S1;257
H124;2017-02-10;2017-02-13;S5;807
H154;2017-02-13;2017-02-16;S4;509
H057;2017-02-13;2017-02-16;S2;225
H125;2017-02-14;2017-02-14;S4;17
H128;2017-02-15;2017-02-18;S1;285
H025;2017-02-16;2017-02-18;S2;102
H050;2017-02-17;2017-02-17;S4;419
H160;2017-02-20;2017-02-22;S2;444
H123;2017-02-21;2017-02-24;S2;364
H143;2017-02-22;2017-02-25;S1;139
H155;2017-02-23;2017-02-25;S3;342
H051;2017-02-24;2017-02-24;S6;14
H116;2017-02-24;2017-02-24;S6;16
H062;2017-02-24;2017-02-26;S2;162
H170;2017-02-27;2017-02-28;S2;405
H059;2017-02-27;2017-03-02;S2;134
H036;2017-02-28;2017-03-03;S2;35
H039;2017-02-28;2017-03-03;S2;277
H180;2017-02-28;2017-03-03;S2;143
H149;2017-03-01;2017-03-02;S3;354
H167;2017-03-01;2017-03-02;S2;103
H020;2017-03-01;2017-03-03;S1;106
H083;2017-03-01;2017-03-02;S3;442
H118;2017-03-02;2017-03-02;S1;288
H169;2017-03-02;2017-03-05;S2;128
H186;2017-03-03;2017-03-06;S1;251
H163;2017-03-03;2017-03-05;S1;340
H140;2017-03-03;2017-03-05;S1;276
H135;2017-03-06;2017-03-08;S2;185
H017;2017-03-06;2017-03-07;S4;69
H176;2017-03-07;2017-03-10;S2;301
H127;2017-03-07;2017-03-10;S2;233
H087;2017-03-07;2017-03-07;S4;30
H133;2017-03-08;2017-03-09;S3;157
H066;2017-03-08;2017-03-11;S1;101
H076;2017-03-09;2017-03-10;S3;74
H139;2017-03-09;2017-03-11;S5;1258
H112;2017-03-09;2017-03-11;S3;263
H132;2017-03-10;2017-03-10;S6;398
H139;2017-03-10;2017-03-13;S3;808
H049;2017-03-13;2017-03-16;S4;311
H146;2017-03-13;2017-03-13;S1;308
H048;2017-03-14;2017-03-16;S3;449
H133;2017-03-14;2017-03-17;S2;233
H035;2017-03-14;2017-03-16;S4;68
