Nick_klienta	Data_zakupu	ID_publikacji
Witu	2017-03-01	e1669
HuanPablo	2017-03-01	a1284
shaq	2017-03-01	e2051
rocketman	2017-03-01	e1547
Koper7	2017-03-01	e1389
marti989	2017-03-01	e2090
hesoyam	2017-03-01	e584
klodzia07	2017-03-01	a599
oszza99	2017-03-01	e205
AestheticAF	2017-03-01	e1753
Kasienka458	2017-03-01	e2062
marti989	2017-03-01	e1893
justforfun87	2017-03-01	e1173
JakubPL34	2017-03-01	a694
jagoda890	2017-03-01	e1594
ambitna007	2017-03-01	e969
truskawa17ed	2017-03-01	a2007
player	2017-03-01	a1989
KennyS	2017-03-01	e298
DeFantom	2017-03-01	a985
vanity	2017-03-01	e779
ambitna007	2017-03-01	e1075
maja221	2017-03-01	e1161
memelord	2017-03-01	e2099
Kasiunia334	2017-03-01	e181
pattric	2017-03-01	e710
michu1999	2017-03-01	a1136
JakubPL34	2017-03-01	a735
sami123	2017-03-01	a1685
klodzia07	2017-03-01	e1744
Gosiaczeq	2017-03-01	a1800
BobRoss	2017-03-01	e932
ktosoj	2017-03-01	e626
pzdr	2017-03-01	e781
oszza99	2017-03-01	e152
endrju678	2017-03-01	e1315
OptimusPrime123	2017-03-01	e597
Delior	2017-03-01	e1245
vanity	2017-03-01	e921
hola81	2017-03-01	a566
marek8958	2017-03-01	e1241
nvidiadown	2017-03-01	a1686
Flacuszek	2017-03-01	e1366
Sark4zm	2017-03-01	a497
KennyS	2017-03-01	a1477
SilverCobra	2017-03-01	e1679
atasa52	2017-03-01	a1052
marcinek223	2017-03-01	e1458
Nitashi	2017-03-01	e1032
AestheticAF	2017-03-01	e1656
bartelok	2017-03-01	e1632
superman	2017-03-01	e676
2foru	2017-03-01	e311
Lucky	2017-03-01	e953
shaq	2017-03-01	a1099
flipher	2017-03-01	a984
RadekTV	2017-03-01	e1823
seba_03_XD	2017-03-01	e440
flipher	2017-03-01	a567
umiemcplusplus	2017-03-01	a469
rocketman	2017-03-01	a233
Master	2017-03-01	e269
RadekTV	2017-03-01	a934
Koper7	2017-03-01	e124
Ktos	2017-03-01	a382
zaka	2017-03-01	e1652
piateczek2017	2017-03-01	a1472
sami123	2017-03-01	a416
maja221	2017-03-01	a2034
Flacuszek	2017-03-01	e1743
Lucky	2017-03-01	e1617
UmirinBrah	2017-03-01	e356
ktosoj	2017-03-01	e2088
AestheticAF	2017-03-01	e1107
vanity	2017-03-01	e1465
pattric	2017-03-01	e1318
marcinek69	2017-03-01	e1934
kolega69	2017-03-01	e1604
Cryptos	2017-03-01	a1001
kubasek03	2017-03-01	e762
BobRoss	2017-03-01	e1728
oszza99	2017-03-02	e1581
elomelo5	2017-03-02	e1659
MataX	2017-03-02	a659
SmikeS	2017-03-02	e1463
DeFantom	2017-03-02	e111
Over	2017-03-02	e841
Oli55	2017-03-02	e690
jetmax	2017-03-02	e796
Lucky	2017-03-02	e462
Master	2017-03-02	e1889
Zenek512	2017-03-02	e1814
Lucky	2017-03-02	e1495
Lucky	2017-03-02	e255
seba_03_XD	2017-03-02	e974
Oli55	2017-03-02	a1760
bartelok	2017-03-02	a1798
justforfun87	2017-03-02	a1816
Slayer	2017-03-02	a1658
fr3sh	2017-03-02	e280
pzdr	2017-03-02	e1027
Ktos	2017-03-02	e1318
CAMYFR	2017-03-02	a589
Kasienka458	2017-03-02	e1511
klodzia100	2017-03-02	a169
maja883	2017-03-02	e2100
matis213	2017-03-02	a1251
5dzientygodnia	2017-03-02	e686
BobRoss	2017-03-02	e1479
ktosoj	2017-03-02	a2072
Fafik97pl	2017-03-02	e1034
klodzia07	2017-03-02	a586
Fafik97pl	2017-03-02	a1360
Slayer	2017-03-02	e830
geslesr1021	2017-03-02	a1186
marti989	2017-03-02	e228
jeff	2017-03-02	a1804
seba	2017-03-02	e148
CAMYFR	2017-03-02	e1470
zawszerazem4	2017-03-02	a1385
jetmax	2017-03-02	e1421
intelatom	2017-03-02	e344
Sark4zm	2017-03-02	a422
Lusia5656	2017-03-02	e205
RadekTV	2017-03-02	a1815
atasa52	2017-03-02	e1017
seba_03_XD	2017-03-02	e1651
ryzyko	2017-03-02	a1208
robaczek456	2017-03-02	a1387
olofmeister	2017-03-02	e1950
Fafik97pl	2017-03-02	e1206
Ktos	2017-03-03	e1332
SilverCobra	2017-03-03	e2073
HuanPablo	2017-03-03	e575
klodzia07	2017-03-03	e364
Ktos	2017-03-03	e649
RadekTV	2017-03-03	e368
KennyS	2017-03-03	e1298
mati9987	2017-03-03	e1222
oliwja1235	2017-03-03	e1875
kubasek03	2017-03-03	e572
DeFantom	2017-03-03	e210
elomelo5	2017-03-03	a1077
noname007	2017-03-03	e463
vanity	2017-03-03	e1596
ktosoj	2017-03-03	a209
Slayer	2017-03-03	e120
sami123	2017-03-03	a1622
elomelo5	2017-03-03	e1977
truskawa17ed	2017-03-03	a1758
monstermash	2017-03-03	a1735
seba	2017-03-03	a1575
matis213	2017-03-03	a759
Cryptos	2017-03-03	a935
RadekTV	2017-03-03	e1891
SmikeS	2017-03-03	e686
truskawa17ed	2017-03-03	a259
Master	2017-03-03	e1341
1GBRAM	2017-03-03	e1929
EquationsForEinstein	2017-03-03	a1331
mati9987	2017-03-03	a1223
maja221	2017-03-03	a1861
sami123	2017-03-03	a937
Master	2017-03-03	e893
Lucky	2017-03-03	a233
AdibA	2017-03-03	e534
opel342	2017-03-03	e1796
ryzyko	2017-03-03	e425
agatek602	2017-03-03	e1719
Lucky	2017-03-03	a1016
radeonmaster	2017-03-03	e1895
piateczek2017	2017-03-03	a975
KennyS	2017-03-03	e198
rocketman	2017-03-03	a423
memelord	2017-03-03	a274
atasa52	2017-03-03	e322
marcinek223	2017-03-03	e1483
martynka320	2017-03-03	e1163
on_fire	2017-03-03	e1378
monstermash	2017-03-03	e1790
mati9987	2017-03-03	e1887
Witu	2017-03-03	e848
SaiYin	2017-03-03	e288
martynka1234	2017-03-03	e1320
Blass	2017-03-03	e213
sami123	2017-03-03	e679
zawszerazem4	2017-03-03	e1519
RadekTV	2017-03-03	e1753
kluskabogracz9	2017-03-03	e1434
AestheticAF	2017-03-03	e247
ktosoj	2017-03-03	e900
geslesr1021	2017-03-03	e505
olofmeister	2017-03-03	e1521
superman	2017-03-03	e285
GR00VY	2017-03-03	e528
Blink69	2017-03-03	e1503
michu1999	2017-03-03	a260
noname007	2017-03-03	e1774
klodzia07	2017-03-03	a351
michu1999	2017-03-03	e654
Ktos	2017-03-03	a737
BobRoss	2017-03-03	e1144
rocketman	2017-03-03	e900
Blejd	2017-03-03	e251
BobRoss	2017-03-03	a2004
jetmax	2017-03-03	e1010
kubasek03	2017-03-03	e1666
CAMYFR	2017-03-03	e601
agusia06	2017-03-03	e579
kluskabogracz9	2017-03-03	e596
EquationsForEinstein	2017-03-03	e713
fifi51423	2017-03-03	e493
Koper7	2017-03-03	e1626
rocketman	2017-03-03	e798
Fafik97pl	2017-03-03	e647
Oli55	2017-03-03	e1978
pro__n00b	2017-03-03	e784
kluskabogracz9	2017-03-03	e1955
michu1999	2017-03-03	e921
core2duo	2017-03-03	e1243
RadekTV	2017-03-03	e1883
marti989	2017-03-03	e1562
zaka	2017-03-03	e1545
Witu	2017-03-03	e1411
1GBRAM	2017-03-03	e165
maciejlol	2017-03-03	a1052
core2duo	2017-03-03	e332
marti989	2017-03-03	e418
Blass	2017-03-03	a1506
Blass	2017-03-03	e538
Lucky	2017-03-03	e1034
Flacuszek	2017-03-03	e1945
MagikarpIsOP	2017-03-03	e1745
DarkShot	2017-03-03	e1863
Zenek512	2017-03-03	e391
aezakmi	2017-03-03	a1800
Blink69	2017-03-03	e540
matis213	2017-03-03	a2111
Slayer	2017-03-03	e673
Sliczna00	2017-03-03	a1182
Slayer	2017-03-03	a902
player	2017-03-03	a1759
szalonaona99	2017-03-03	e2063
hola81	2017-03-03	e1976
Gnusmas	2017-03-03	e991
seba	2017-03-03	a777
tytus35	2017-03-03	e665
pzdr	2017-03-03	a894
Sark4zm	2017-03-03	e1073
seba_03_XD	2017-03-03	e833
superman	2017-03-03	e1347
kolega69	2017-03-03	e848
KennyS	2017-03-03	e1618
Kasiunia334	2017-03-03	e335
geslesr1021	2017-03-03	a1208
agatek602	2017-03-03	e1072
kappa98	2017-03-03	e1242
KennyS	2017-03-03	a940
Witu	2017-03-03	a549
elomelo5	2017-03-03	e1061
atasa52	2017-03-03	a1506
ktosoj	2017-03-03	a823
Ktos	2017-03-03	e787
bartelok	2017-03-03	e1670
HuanPablo	2017-03-03	e608
ryzyko	2017-03-03	e752
marti989	2017-03-03	e1875
endrju678	2017-03-03	e204
rocketman	2017-03-03	a1685
besos11	2017-03-03	a639
AestheticAF	2017-03-03	e1294
atasa52	2017-03-03	e221
kluskabogracz9	2017-03-03	a1510
AT123	2017-03-04	e1982
AdibA	2017-03-04	a1149
Master	2017-03-04	a1578
atasa52	2017-03-04	e1288
Sliczna00	2017-03-04	e1565
blazkowicz	2017-03-04	e817
marti989	2017-03-04	e1967
druka678	2017-03-04	e1093
Blink69	2017-03-04	a1371
Nitashi	2017-03-04	e632
bigos00	2017-03-04	e675
niki3049	2017-03-04	e1659
WimbledonTennismatch	2017-03-04	e1659
Fafik97pl	2017-03-04	e459
umiemcplusplus	2017-03-04	e1814
geslesr1021	2017-03-04	e949
naciafacia91	2017-03-04	e624
hola81	2017-03-04	a882
filip1999	2017-03-04	a2005
Koper7	2017-03-04	e1481
niki3049	2017-03-04	e1174
Blass	2017-03-04	a1798
atasa52	2017-03-04	a887
sarna515	2017-03-04	e914
RadekTV	2017-03-04	e119
pattric	2017-03-04	e1490
Proteam_98	2017-03-04	e958
SmikeS	2017-03-04	e1554
jeff	2017-03-04	e1811
KennyS	2017-03-04	e1327
Koper7	2017-03-04	a1727
