Student	Wynik	Id_grupy 
Student 1	62	A
Student 2	92	B
Student 3	52	D
Student 4	60	C
Student 5	81	E
Student 6	66	F
Student 7	63	G
Student 8	100	C
Student 9	46	D
Student 10	87	A
Student 11	93	E
Student 12	84	B
Student 13	44	C
Student 14	71	D
Student 15	100	C
Student 16	40	D
Student 17	35	D
Student 18	73	D
Student 19	99	C
Student 20	88	F
Student 21	90	G
Student 22	90	B
Student 23	44	E
Student 24	74	G
Student 25	46	H
Student 26	74	G
Student 27	92	C
Student 28	31	B
Student 29	51	F
Student 30	59	D
Student 31	85	F
Student 32	63	D
Student 33	60	C
Student 34	83	B
Student 35	72	F
Student 36	94	H
Student 37	92	E
Student 38	92	G
Student 39	59	E
Student 40	51	G
Student 41	45	C
Student 42	89	A
Student 43	51	H
Student 44	84	F
Student 45	32	B
Student 46	73	H
Student 47	44	F
Student 48	81	H
Student 49	76	E
Student 50	89	G
Student 51	83	F
Student 52	24	A
Student 53	99	G
Student 54	98	B
Student 55	92	D
Student 56	41	D
Student 57	77	A
Student 58	84	B
Student 59	98	B
Student 60	67	B
Student 61	78	B
Student 62	59	C
Student 63	95	G
Student 64	34	F
Student 65	54	E
Student 66	64	C
Student 67	44	A
Student 68	45	A
Student 69	22	D
Student 70	61	F
Student 71	23	F
Student 72	26	A
Student 73	65	H
Student 74	64	G
Student 75	80	E
Student 76	49	H
Student 77	24	H
Student 78	78	A
Student 79	26	G
Student 80	87	A
Student 81	34	C
Student 82	72	F
Student 83	61	C
Student 84	89	C
Student 85	23	C
Student 86	9	B
Student 87	5	B
Student 88	91	F
Student 89	76	E
Student 90	57	A
Student 91	44	F
Student 92	77	D
Student 93	29	E
Student 94	10	E
Student 95	85	A
Student 96	14	F
Student 97	87	B
Student 98	86	A
Student 99	77	C
Student 100	31	A
Student 101	28	A
Student 102	42	A
Student 103	22	A
Student 104	93	A
Student 105	24	B
Student 106	94	A
Student 107	38	A
Student 108	43	A
Student 109	25	F
Student 110	60	H
Student 111	75	G
Student 112	3	A
Student 113	74	B
Student 114	40	E
Student 115	2	A
Student 116	58	C
Student 117	6	A
Student 118	32	B
Student 119	70	E
Student 120	14	C
Student 121	23	F
Student 122	100	A
Student 123	80	H
Student 124	22	G
Student 125	92	D
Student 126	69	D
Student 127	76	B
Student 128	57	H
Student 129	48	F
Student 130	22	F
Student 131	72	B
Student 132	25	E
Student 133	65	F
Student 134	14	E
Student 135	16	D
Student 136	77	D
Student 137	49	F
Student 138	39	E
Student 139	29	C
Student 140	38	C
Student 141	61	C
Student 142	72	F
Student 143	8	G
Student 144	88	B
Student 145	6	G
Student 146	5	G
Student 147	24	G
Student 148	84	G
Student 149	25	F
Student 150	26	F
Student 151	7	D
Student 152	34	D
Student 153	77	D
Student 154	46	B
Student 155	27	C
Student 156	49	C
Student 157	78	G
Student 158	57	B
Student 159	35	H
Student 160	26	B
Student 161	33	B
Student 162	2	H
Student 163	94	H
Student 164	77	G
Student 165	19	E
Student 166	13	D
Student 167	42	D
Student 168	77	G
Student 169	68	E
Student 170	30	E
Student 171	4	H
Student 172	17	F
Student 173	99	G
Student 174	67	C
Student 175	56	F
Student 176	55	E
Student 177	57	C
Student 178	70	D
Student 179	30	D
Student 180	49	D
Student 181	44	F
Student 182	19	F
Student 183	91	B
Student 184	13	B
Student 185	18	B
Student 186	6	C
Student 187	40	F
Student 188	36	E
Student 189	39	C
Student 190	1	G
Student 191	58	F
Student 192	85	F
Student 193	75	F
Student 194	45	C
Student 195	5	E
Student 196	48	E
Student 197	3	H
Student 198	44	G
Student 199	46	E
Student 200	13	D
Student 201	7	G
Student 202	29	E
Student 203	39	B
Student 204	11	H
Student 205	94	E
Student 206	13	H
Student 207	9	H
Student 208	73	E
Student 209	89	E
Student 210	94	D
Student 211	3	E
Student 212	97	H
Student 213	43	H
Student 214	86	H
Student 215	80	E
Student 216	36	D
Student 217	94	G
Student 218	12	B
Student 219	99	C
Student 220	33	G
Student 221	53	H
Student 222	39	E
Student 223	62	H
Student 224	99	D
Student 225	31	E
Student 226	49	H
Student 227	43	E
Student 228	12	G
Student 229	97	C
Student 230	12	B
Student 231	5	H
Student 232	92	D
Student 233	14	H
Student 234	24	G
Student 235	80	H
Student 236	11	D
Student 237	9	E
Student 238	77	C
Student 239	79	G
Student 240	3	D
Student 241	70	A
Student 242	13	A
Student 243	77	E
Student 244	93	A
Student 245	58	D
Student 246	48	G
Student 247	16	E
Student 248	24	E
Student 249	63	C
Student 250	66	D
