id_czlonka	id_grupy
122	f20
152	f34
49	f8
172	f6
74	f3
152	f14
96	f17
39	f19
19	f26
45	f9
183	f15
137	f30
119	f18
152	f31
190	f26
13	f26
94	f14
16	f5
157	f7
58	f13
28	f18
183	f24
172	f24
27	f32
95	f5
127	f28
83	f11
110	f23
90	f25
196	f4
50	f19
107	f1
132	f34
67	f27
13	f33
156	f25
143	f13
58	f24
147	f35
189	f27
76	f26
25	f23
82	f31
204	f16
86	f32
34	f25
174	f30
61	f8
37	f27
65	f30
44	f25
29	f30
87	f21
174	f13
207	f14
101	f21
131	f4
21	f30
71	f15
174	f14
184	f22
67	f23
143	f35
192	f30
138	f31
205	f3
41	f18
119	f35
197	f3
55	f12
92	f19
101	f25
85	f30
56	f34
137	f23
51	f27
124	f16
30	f16
56	f35
103	f13
173	f13
33	f28
6	f25
105	f23
60	f15
77	f33
101	f17
150	f16
21	f31
5	f26
120	f34
162	f8
76	f2
108	f12
140	f15
121	f11
102	f17
126	f34
133	f14
148	f31
24	f32
136	f24
87	f11
78	f13
98	f34
34	f12
46	f21
192	f2
115	f12
107	f33
166	f30
192	f1
14	f21
9	f27
82	f14
177	f28
169	f31
76	f5
185	f22
161	f1
87	f26
181	f13
5	f8
37	f25
1	f30
12	f6
161	f35
51	f20
151	f27
199	f5
119	f13
151	f15
29	f33
147	f9
106	f18
85	f33
84	f3
25	f30
164	f19
38	f10
84	f20
41	f1
189	f17
130	f15
142	f30
142	f34
48	f23
139	f5
70	f21
197	f16
110	f18
3	f20
83	f2
118	f20
205	f22
200	f30
79	f20
21	f9
148	f25
128	f34
151	f30
145	f14
157	f5
123	f7
44	f35
199	f15
154	f23
207	f35
59	f25
70	f10
126	f23
129	f1
84	f9
173	f7
93	f2
37	f16
158	f12
80	f5
42	f28
12	f28
51	f1
112	f4
40	f22
86	f24
193	f24
102	f27
99	f34
201	f7
154	f20
194	f24
16	f6
89	f29
139	f33
152	f8
77	f5
85	f34
1	f12
26	f32
167	f10
6	f8
71	f1
26	f11
46	f15
188	f7
129	f17
204	f32
49	f13
109	f5
61	f20
76	f27
126	f31
94	f11
206	f34
7	f33
163	f29
11	f26
54	f25
206	f10
205	f16
94	f29
17	f19
126	f13
104	f1
152	f17
167	f12
86	f28
177	f15
117	f34
131	f5
77	f25
149	f16
113	f33
130	f34
172	f19
77	f22
46	f32
113	f35
152	f15
116	f24
28	f8
6	f3
181	f24
40	f25
178	f17
111	f23
206	f2
43	f13
3	f11
88	f22
135	f8
150	f35
54	f27
59	f28
149	f10
63	f7
22	f14
36	f25
28	f5
170	f20
92	f27
39	f34
205	f12
173	f27
72	f30
118	f25
205	f19
75	f26
161	f8
168	f14
108	f28
108	f31
181	f18
4	f33
165	f8
19	f12
168	f19
29	f25
62	f14
69	f22
158	f25
137	f17
114	f33
77	f29
120	f14
32	f12
79	f6
23	f27
170	f31
75	f1
88	f28
28	f34
34	f17
23	f13
22	f13
189	f14
63	f21
145	f16
8	f23
151	f20
66	f31
76	f6
100	f20
41	f15
179	f27
141	f10
42	f34
103	f22
126	f3
49	f29
24	f22
87	f13
156	f22
64	f24
158	f2
111	f25
155	f13
164	f6
67	f20
167	f29
39	f35
18	f23
50	f16
46	f11
18	f18
145	f22
142	f17
204	f33
123	f22
160	f2
85	f18
184	f31
135	f22
143	f6
137	f29
205	f1
7	f27
78	f4
97	f27
82	f20
98	f20
18	f24
2	f6
52	f2
88	f18
155	f20
173	f26
131	f21
201	f14
23	f10
113	f31
144	f19
149	f12
63	f15
200	f12
109	f6
203	f13
107	f7
174	f31
4	f25
108	f1
28	f24
2	f23
134	f17
119	f31
13	f22
144	f9
91	f9
110	f30
150	f20
181	f25
15	f9
164	f21
149	f30
168	f7
60	f18
142	f29
19	f5
135	f32
113	f14
166	f11
99	f27
114	f31
45	f26
30	f27
199	f17
102	f32
166	f31
63	f13
193	f5
198	f35
76	f30
71	f18
130	f2
148	f32
101	f4
72	f21
141	f12
56	f1
105	f24
191	f34
62	f20
172	f13
36	f29
206	f9
170	f6
79	f19
163	f27
109	f17
106	f29
139	f14
62	f25
161	f15
117	f35
107	f17
189	f16
57	f29
93	f18
118	f21
186	f27
112	f27
168	f32
77	f2
52	f6
198	f33
131	f19
152	f19
69	f28
75	f5
156	f34
190	f10
55	f3
163	f7
91	f3
118	f24
169	f23
121	f2
187	f25
167	f18
177	f26
187	f8
158	f23
24	f17
118	f32
108	f8
202	f24
57	f35
91	f27
191	f11
58	f6
96	f8
109	f5
51	f9
139	f3
189	f30
128	f16
95	f10
95	f12
140	f16
168	f30
57	f19
70	f16
85	f12
114	f12
21	f20
90	f11
88	f30
123	f13
179	f18
125	f17
21	f33
167	f23
204	f11
31	f6
146	f1
94	f5
112	f33
196	f35
86	f34
52	f33
173	f4
181	f20
183	f23
20	f1
59	f26
195	f20
175	f13
169	f34
150	f7
113	f17
67	f2
9	f3
170	f14
186	f22
179	f11
70	f33
79	f34
129	f23
57	f3
141	f29
191	f29
3	f30
134	f2
75	f34
34	f9
114	f26
23	f16
18	f25
121	f23
167	f21
74	f15
44	f1
187	f4
171	f8
162	f30
134	f14
185	f9
101	f14
55	f32
68	f31
6	f5
42	f32
102	f31
55	f10
61	f27
118	f9
33	f9
172	f17
170	f32
130	f26
89	f30
139	f30
197	f25
53	f23
44	f34
104	f21
43	f20
45	f31
118	f7
97	f13
153	f22
152	f16
122	f8
95	f19
127	f8
187	f26
85	f10
57	f4
145	f5
56	f33
185	f4
206	f28
197	f8
143	f2
76	f21
166	f1
44	f13
149	f24
81	f7
205	f2
142	f1
172	f20
130	f1
128	f31
25	f11
121	f25
60	f12
20	f6
191	f2
156	f15
54	f4
129	f7
78	f31
146	f26
76	f16
42	f16
121	f28
72	f2
9	f24
127	f13
77	f34
103	f25
75	f8
198	f32
66	f32
166	f21
70	f35
78	f2
68	f5
2	f5
66	f10
36	f3
197	f31
32	f13
188	f26
103	f23
185	f11
163	f10
5	f33
174	f12
121	f27
173	f20
66	f26
70	f15
166	f32
97	f2
146	f19
34	f2
38	f11
40	f3
200	f34
52	f21
89	f5
140	f14
57	f31
33	f5
126	f30
91	f5
185	f12
186	f10
123	f23
166	f24
177	f19
93	f32
32	f9
9	f29
113	f7
49	f14
78	f34
13	f20
46	f2
